state,stage,sex,date,completion
Malaysia,primary,both,1/1/2016,98.37
Malaysia,primary,both,1/1/2017,98.07
Malaysia,primary,both,1/1/2018,97.67
Malaysia,primary,both,1/1/2019,98
Malaysia,primary,both,1/1/2020,98.4
Malaysia,primary,both,1/1/2021,99
Malaysia,primary,both,1/1/2022,99.3
Malaysia,primary,female,1/1/2016,99.14
Malaysia,primary,female,1/1/2017,98.83
Malaysia,primary,female,1/1/2018,98.52
Malaysia,primary,female,1/1/2019,98.7
Malaysia,primary,female,1/1/2020,99.3
Malaysia,primary,female,1/1/2021,100.5
Malaysia,primary,female,1/1/2022,100.1
Malaysia,primary,male,1/1/2016,97.64
Malaysia,primary,male,1/1/2017,97.34
Malaysia,primary,male,1/1/2018,96.86
Malaysia,primary,male,1/1/2019,97.2
Malaysia,primary,male,1/1/2020,97.6
Malaysia,primary,male,1/1/2021,97.5
Malaysia,primary,male,1/1/2022,98.7
Malaysia,secondary_lower,both,1/1/2016,95.582
Malaysia,secondary_lower,both,1/1/2017,97.7251
Malaysia,secondary_lower,both,1/1/2018,96.6377
Malaysia,secondary_lower,both,1/1/2019,96.7
Malaysia,secondary_lower,both,1/1/2020,97.8
Malaysia,secondary_lower,both,1/1/2021,99.8
Malaysia,secondary_lower,both,1/1/2022,99
Malaysia,secondary_lower,female,1/1/2016,97.0444
Malaysia,secondary_lower,female,1/1/2017,98.6532
Malaysia,secondary_lower,female,1/1/2018,97.6811
Malaysia,secondary_lower,female,1/1/2019,98
Malaysia,secondary_lower,female,1/1/2020,99.3
Malaysia,secondary_lower,female,1/1/2021,100.4
Malaysia,secondary_lower,female,1/1/2022,98.9
Malaysia,secondary_lower,male,1/1/2016,94.1613
Malaysia,secondary_lower,male,1/1/2017,96.813
Malaysia,secondary_lower,male,1/1/2018,95.6254
Malaysia,secondary_lower,male,1/1/2019,95.4
Malaysia,secondary_lower,male,1/1/2020,96.4
Malaysia,secondary_lower,male,1/1/2021,99.2
Malaysia,secondary_lower,male,1/1/2022,99.2
Malaysia,secondary_upper,both,1/1/2016,99.2484
Malaysia,secondary_upper,both,1/1/2017,96.3806
