series,date,sector,value
abs,2015-01-01,p0,1176941
abs,2015-01-01,p1,97539
abs,2015-01-01,p1.1,63852
abs,2015-01-01,p1.1.1,3348
abs,2015-01-01,p1.1.2,37853
abs,2015-01-01,p1.1.3,2205
abs,2015-01-01,p1.1.4,9541
abs,2015-01-01,p1.1.5,4155
abs,2015-01-01,p1.1.6,5718
abs,2015-01-01,p1.1.7,1032
abs,2015-01-01,p1.2,12694
abs,2015-01-01,p1.2.1,7683
abs,2015-01-01,p1.2.2,1058
abs,2015-01-01,p1.2.3,3953
abs,2015-01-01,p1.3,8810
abs,2015-01-01,p1.4,12181
abs,2015-01-01,p1.4.1,8007
abs,2015-01-01,p1.4.2,4175
abs,2015-01-01,p2,103059
abs,2015-01-01,p2.1,46526
abs,2015-01-01,p2.2,49119
abs,2015-01-01,p2.3,7414
abs,2015-01-01,p3,262379
abs,2015-01-01,p3.1,32738
abs,2015-01-01,p3.1.1,11713
abs,2015-01-01,p3.1.2,13428
abs,2015-01-01,p3.1.3,4152
abs,2015-01-01,p3.1.4,3445
abs,2015-01-01,p3.2,4923
abs,2015-01-01,p3.2.1,4296
abs,2015-01-01,p3.2.2,627
abs,2015-01-01,p3.3,13858
abs,2015-01-01,p3.3.1,6471
abs,2015-01-01,p3.3.2,3895
abs,2015-01-01,p3.3.3,3492
abs,2015-01-01,p3.4,78307
abs,2015-01-01,p3.4.1,34341
abs,2015-01-01,p3.4.2,28572
abs,2015-01-01,p3.4.3,6415
abs,2015-01-01,p3.4.4,8979
abs,2015-01-01,p3.5,31572
abs,2015-01-01,p3.5.1,10321
abs,2015-01-01,p3.5.2,7311
abs,2015-01-01,p3.5.3,13940
abs,2015-01-01,p3.6,70245
abs,2015-01-01,p3.6.1,8294
abs,2015-01-01,p3.6.2,5388
abs,2015-01-01,p3.6.3,5294
abs,2015-01-01,p3.6.4,46698
abs,2015-01-01,p3.6.5,4571
abs,2015-01-01,p3.7,30738
abs,2015-01-01,p3.7.1,23066
abs,2015-01-01,p3.7.2,3927
abs,2015-01-01,p3.7.3,3745
abs,2015-01-01,p4,55382
abs,2015-01-01,p4.1,30606
abs,2015-01-01,p4.1.1,15246
abs,2015-01-01,p4.1.2,15360
abs,2015-01-01,p4.2,15373
abs,2015-01-01,p4.3,9402
abs,2015-01-01,p5,643883
abs,2015-01-01,p5.1,136070
abs,2015-01-01,p5.1.1,25774
abs,2015-01-01,p5.1.2,5936
abs,2015-01-01,p5.1.3,42057
abs,2015-01-01,p5.1.3.1,10246
abs,2015-01-01,p5.1.3.2,6081
abs,2015-01-01,p5.1.3.3,5734
abs,2015-01-01,p5.1.3.4,5817
abs,2015-01-01,p5.1.3.5,6100
abs,2015-01-01,p5.1.3.6,6320
abs,2015-01-01,p5.1.3.7,1759
abs,2015-01-01,p5.1.4,62303
abs,2015-01-01,p5.1.4.1,6646
abs,2015-01-01,p5.1.4.2,40999
abs,2015-01-01,p5.1.4.3,14657
abs,2015-01-01,p5.2,220242
abs,2015-01-01,p5.2.1,184023
abs,2015-01-01,p5.2.1.1,82183
abs,2015-01-01,p5.2.1.2,78555
abs,2015-01-01,p5.2.1.3,23285
abs,2015-01-01,p5.2.2,28352
abs,2015-01-01,p5.2.3,7867
abs,2015-01-01,p5.3,130064
abs,2015-01-01,p5.3.1,60018
abs,2015-01-01,p5.3.1.1,50787
abs,2015-01-01,p5.3.1.2,9231
abs,2015-01-01,p5.3.2,18616
abs,2015-01-01,p5.3.2.1,18028
abs,2015-01-01,p5.3.2.2,587
abs,2015-01-01,p5.3.3,17561
abs,2015-01-01,p5.3.4,33869
abs,2015-01-01,p5.3.4.1,22928
abs,2015-01-01,p5.3.4.2,10942
abs,2015-01-01,p5.4,57724
abs,2015-01-01,p5.4.1,8028
abs,2015-01-01,p5.4.2,9233
abs,2015-01-01,p5.4.3,26271
abs,2015-01-01,p5.4.4,320
abs,2015-01-01,p5.4.5,1165
abs,2015-01-01,p5.4.6,12707
abs,2015-01-01,p5.5,99783
abs,2015-01-01,p5.5.01,16180
abs,2015-01-01,p5.5.02,8723
abs,2015-01-01,p5.5.03,10246
abs,2015-01-01,p5.5.04,8226
abs,2015-01-01,p5.5.05,367
abs,2015-01-01,p5.5.06,1247
abs,2015-01-01,p5.5.07,13131
abs,2015-01-01,p5.5.08,1809
abs,2015-01-01,p5.5.09,38728
abs,2015-01-01,p5.5.10,1126
abs,2015-01-01,p6,14699
abs,2016-01-01,p0,1249698
abs,2016-01-01,p1,105756
abs,2016-01-01,p1.1,70157
abs,2016-01-01,p1.1.1,3548
abs,2016-01-01,p1.1.2,42767
abs,2016-01-01,p1.1.3,2246
abs,2016-01-01,p1.1.4,10056
abs,2016-01-01,p1.1.5,4378
abs,2016-01-01,p1.1.6,6198
abs,2016-01-01,p1.1.7,964
abs,2016-01-01,p1.2,13726
abs,2016-01-01,p1.2.1,8588
abs,2016-01-01,p1.2.2,1101
abs,2016-01-01,p1.2.3,4037
abs,2016-01-01,p1.3,9246
abs,2016-01-01,p1.4,12627
abs,2016-01-01,p1.4.1,8528
abs,2016-01-01,p1.4.2,4099
abs,2016-01-01,p2,103959
abs,2016-01-01,p2.1,46023
abs,2016-01-01,p2.2,49722
abs,2016-01-01,p2.3,8214
abs,2016-01-01,p3,272396
abs,2016-01-01,p3.1,34674
abs,2016-01-01,p3.1.1,12046
abs,2016-01-01,p3.1.2,14508
abs,2016-01-01,p3.1.3,4564
abs,2016-01-01,p3.1.4,3556
abs,2016-01-01,p3.2,5320
abs,2016-01-01,p3.2.1,4588
abs,2016-01-01,p3.2.2,732
abs,2016-01-01,p3.3,14964
abs,2016-01-01,p3.3.1,6954
abs,2016-01-01,p3.3.2,4195
abs,2016-01-01,p3.3.3,3815
abs,2016-01-01,p3.4,78151
abs,2016-01-01,p3.4.1,32404
abs,2016-01-01,p3.4.2,29649
abs,2016-01-01,p3.4.3,6659
abs,2016-01-01,p3.4.4,9439
abs,2016-01-01,p3.5,33198
abs,2016-01-01,p3.5.1,10999
abs,2016-01-01,p3.5.2,7472
abs,2016-01-01,p3.5.3,14727
abs,2016-01-01,p3.6,75577
abs,2016-01-01,p3.6.1,8759
abs,2016-01-01,p3.6.2,5601
abs,2016-01-01,p3.6.3,5541
abs,2016-01-01,p3.6.4,50695
abs,2016-01-01,p3.6.5,4981
abs,2016-01-01,p3.7,30514
abs,2016-01-01,p3.7.1,22362
abs,2016-01-01,p3.7.2,4288
abs,2016-01-01,p3.7.3,3864
abs,2016-01-01,p4,61089
abs,2016-01-01,p4.1,32641
abs,2016-01-01,p4.1.1,17027
abs,2016-01-01,p4.1.2,15614
abs,2016-01-01,p4.2,18210
abs,2016-01-01,p4.3,10238
abs,2016-01-01,p5,689969
abs,2016-01-01,p5.1,146447
abs,2016-01-01,p5.1.1,26953
abs,2016-01-01,p5.1.2,6530
abs,2016-01-01,p5.1.3,45234
abs,2016-01-01,p5.1.3.1,11159
abs,2016-01-01,p5.1.3.2,6211
abs,2016-01-01,p5.1.3.3,5993
abs,2016-01-01,p5.1.3.4,6381
abs,2016-01-01,p5.1.3.5,6707
abs,2016-01-01,p5.1.3.6,6874
abs,2016-01-01,p5.1.3.7,1909
abs,2016-01-01,p5.1.4,67730
abs,2016-01-01,p5.1.4.1,7017
abs,2016-01-01,p5.1.4.2,45077
abs,2016-01-01,p5.1.4.3,15636
abs,2016-01-01,p5.2,238308
abs,2016-01-01,p5.2.1,198155
abs,2016-01-01,p5.2.1.1,88360
abs,2016-01-01,p5.2.1.2,86686
abs,2016-01-01,p5.2.1.3,23108
abs,2016-01-01,p5.2.2,31745
abs,2016-01-01,p5.2.3,8408
abs,2016-01-01,p5.3,137532
abs,2016-01-01,p5.3.1,61507
abs,2016-01-01,p5.3.1.1,52023
abs,2016-01-01,p5.3.1.2,9484
abs,2016-01-01,p5.3.2,19950
abs,2016-01-01,p5.3.2.1,19333
abs,2016-01-01,p5.3.2.2,617
abs,2016-01-01,p5.3.3,18974
abs,2016-01-01,p5.3.4,37101
abs,2016-01-01,p5.3.4.1,25089
abs,2016-01-01,p5.3.4.2,12011
abs,2016-01-01,p5.4,61460
abs,2016-01-01,p5.4.1,8774
abs,2016-01-01,p5.4.2,10029
abs,2016-01-01,p5.4.3,27726
abs,2016-01-01,p5.4.4,334
abs,2016-01-01,p5.4.5,1223
abs,2016-01-01,p5.4.6,13374
abs,2016-01-01,p5.5,106221
abs,2016-01-01,p5.5.01,16985
abs,2016-01-01,p5.5.02,8879
abs,2016-01-01,p5.5.03,10092
abs,2016-01-01,p5.5.04,8800
abs,2016-01-01,p5.5.05,372
abs,2016-01-01,p5.5.06,1507
abs,2016-01-01,p5.5.07,14870
abs,2016-01-01,p5.5.08,1839
abs,2016-01-01,p5.5.09,41716
abs,2016-01-01,p5.5.10,1162
abs,2016-01-01,p6,16529
abs,2017-01-01,p0,1372310
abs,2017-01-01,p1,117995
abs,2017-01-01,p1.1,82183
abs,2017-01-01,p1.1.1,4872
abs,2017-01-01,p1.1.2,51240
abs,2017-01-01,p1.1.3,2225
abs,2017-01-01,p1.1.4,10702
abs,2017-01-01,p1.1.5,5381
abs,2017-01-01,p1.1.6,6704
abs,2017-01-01,p1.1.7,1059
abs,2017-01-01,p1.2,14966
abs,2017-01-01,p1.2.1,9414
abs,2017-01-01,p1.2.2,1159
abs,2017-01-01,p1.2.3,4393
abs,2017-01-01,p1.3,7819
abs,2017-01-01,p1.4,13027
abs,2017-01-01,p1.4.1,8716
abs,2017-01-01,p1.4.2,4312
abs,2017-01-01,p2,121326
abs,2017-01-01,p2.1,58254
abs,2017-01-01,p2.2,53908
abs,2017-01-01,p2.3,9164
abs,2017-01-01,p3,299797
abs,2017-01-01,p3.1,39079
abs,2017-01-01,p3.1.1,15069
abs,2017-01-01,p3.1.2,15412
abs,2017-01-01,p3.1.3,4959
abs,2017-01-01,p3.1.4,3639
