state,year,income_median
Johor,1974,269
Johor,1976,370
Johor,1979,518
Johor,1984,793
Johor,1987,816
Johor,1989,880
Johor,1992,1225
Johor,1995,1610
Johor,1997,2056
Johor,1999,2012
Johor,2002,2212
Johor,2004,2325
Johor,2007,2726
Johor,2009,2958
Johor,2012,3650
Johor,2014,5197
Johor,2016,5652
Johor,2019,6427
Johor,2020,5690
Johor,2022,6879
Kedah,1974,151
Kedah,1976,193
Kedah,1979,259
Kedah,1984,472
Kedah,1987,531
Kedah,1989,552
Kedah,1992,758
Kedah,1995,990
Kedah,1997,1171
Kedah,1999,1225
Kedah,2002,1451
Kedah,2004,1607
Kedah,2007,1756
Kedah,2009,1966
Kedah,2012,2633
Kedah,2014,3451
Kedah,2016,3811
Kedah,2019,4325
Kedah,2020,3829
Kedah,2022,4402
Kelantan,1974,108
Kelantan,1976,163
Kelantan,1979,256
Kelantan,1984,436
Kelantan,1987,482
Kelantan,1989,528
Kelantan,1992,632
Kelantan,1995,789
Kelantan,1997,872
Kelantan,1999,946
Kelantan,2002,1154
Kelantan,2004,1258
Kelantan,2007,1510
Kelantan,2009,1713
Kelantan,2012,2276
Kelantan,2014,2716
Kelantan,2016,3079
Kelantan,2019,3563
Kelantan,2020,3010
Kelantan,2022,3614
Melaka,1974,255
Melaka,1976,350
Melaka,1979,528
Melaka,1984,738
Melaka,1987,780
Melaka,1989,828
Melaka,1992,1118
Melaka,1995,1391
Melaka,1997,1793
Melaka,1999,1715
Melaka,2002,2051
Melaka,2004,2308
Melaka,2007,2717
Melaka,2009,3005
Melaka,2012,3923
Melaka,2014,5029
Melaka,2016,5588
Melaka,2019,6054
Melaka,2020,5447
Melaka,2022,6210
Negeri Sembilan,1974,273
Negeri Sembilan,1976,348
Negeri Sembilan,1979,486
Negeri Sembilan,1984,753
Negeri Sembilan,1987,674
Negeri Sembilan,1989,842
Negeri Sembilan,1992,987
Negeri Sembilan,1995,1358
Negeri Sembilan,1997,1731
Negeri Sembilan,1999,1777
Negeri Sembilan,2002,2080
Negeri Sembilan,2004,2288
Negeri Sembilan,2007,2556
Negeri Sembilan,2009,2711
Negeri Sembilan,2012,3575
Negeri Sembilan,2014,4128
Negeri Sembilan,2016,4579
Negeri Sembilan,2019,5005
Negeri Sembilan,2020,4478
Negeri Sembilan,2022,5226
Pahang,1974,210
Pahang,1976,324
Pahang,1979,481
Pahang,1984,731
Pahang,1987,697
Pahang,1989,764
Pahang,1992,957
Pahang,1995,1138
Pahang,1997,1259
Pahang,1999,1202
Pahang,2002,1423
Pahang,2004,1783
Pahang,2007,2235
Pahang,2009,2479
Pahang,2012,3067
Pahang,2014,3389
Pahang,2016,3979
Pahang,2019,4440
Pahang,2020,4033
Pahang,2022,4753
Perak,1974,213
Perak,1976,286
Perak,1979,394
Perak,1984,646
Perak,1987,659
Perak,1989,719
Perak,1992,958
Perak,1995,1102
Perak,1997,1522
Perak,1999,1350
Perak,2002,1613
Perak,2004,1732
Perak,2007,1905
Perak,2009,2094
Perak,2012,2665
Perak,2014,3451
Perak,2016,4006
Perak,2019,4273
Perak,2020,3759
Perak,2022,4494
Perlis,1974,147
Perlis,1976,196
